Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,All Schools,All Schools,0,0,0,0
