Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Richmond City Public Schools,Overby-Sheppard Elementary,All Schools,Title I,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Overby-Sheppard Elementary,High Poverty,All Schools,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Overby-Sheppard Elementary,High Poverty,Title I,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Patrick Henry School Of Science And Arts,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Patrick Henry School Of Science And Arts,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Patrick Henry School Of Science And Arts,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Patrick Henry School Of Science And Arts,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Alternative School,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Alternative School,All Schools,Title I,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Career Education and Employment Charter School,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Career Education and Employment Charter School,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Community High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Community High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Community High,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond Community High,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond High School for the Arts,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond High School for the Arts,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond High School for the Arts,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Richmond High School for the Arts,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,River City Middle,All Schools,All Schools,50,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,River City Middle,All Schools,Title I,50,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,River City Middle,High Poverty,All Schools,50,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,River City Middle,High Poverty,Title I,50,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Southampton Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,Southampton Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,Southampton Elementary,High Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,Southampton Elementary,High Poverty,Title I,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,Swansboro Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Swansboro Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Swansboro Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Swansboro Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Thomas C. Boushall Middle,All Schools,All Schools,100,1,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas C. Boushall Middle,All Schools,Title I,100,1,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas C. Boushall Middle,High Poverty,All Schools,100,1,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas C. Boushall Middle,High Poverty,Title I,100,1,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas H. Henderson Middle,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas H. Henderson Middle,All Schools,Title I,0,0,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas H. Henderson Middle,High Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas H. Henderson Middle,High Poverty,Title I,0,0,33.3,1
2023 - 2024,SCH,Richmond City Public Schools,Thomas Jefferson High,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Thomas Jefferson High,All Schools,Title I,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Thomas Jefferson High,High Poverty,All Schools,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Thomas Jefferson High,High Poverty,Title I,100,1,0,0
2023 - 2024,SCH,Richmond City Public Schools,Westover Hills Elementary,All Schools,All Schools,100,1,100,1
2023 - 2024,SCH,Richmond City Public Schools,Westover Hills Elementary,All Schools,Title I,100,1,100,1
2023 - 2024,SCH,Richmond City Public Schools,Westover Hills Elementary,High Poverty,All Schools,100,1,100,1
2023 - 2024,SCH,Richmond City Public Schools,Westover Hills Elementary,High Poverty,Title I,100,1,100,1
2023 - 2024,SCH,Richmond City Public Schools,William Fox Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,William Fox Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,William Fox Elementary,High Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,William Fox Elementary,High Poverty,Title I,0,0,50,1
2023 - 2024,SCH,Richmond City Public Schools,Woodville Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Woodville Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Woodville Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond City Public Schools,Woodville Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Richmond County Public Schools,Rappahannock High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond County Public Schools,Rappahannock High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Richmond County Public Schools,Richmond County Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Richmond County Public Schools,Richmond County Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Addison Aerospace Magnet Middle,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Roanoke City Public Schools,Addison Aerospace Magnet Middle,All Schools,Title I,0,0,33.3,1
2023 - 2024,SCH,Roanoke City Public Schools,Addison Aerospace Magnet Middle,High Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Roanoke City Public Schools,Addison Aerospace Magnet Middle,High Poverty,Title I,0,0,33.3,1
2023 - 2024,SCH,Roanoke City Public Schools,Breckinridge Middle,All Schools,All Schools,0,0,100,3
2023 - 2024,SCH,Roanoke City Public Schools,Breckinridge Middle,All Schools,Title I,0,0,100,3
2023 - 2024,SCH,Roanoke City Public Schools,Breckinridge Middle,High Poverty,All Schools,0,0,100,3
2023 - 2024,SCH,Roanoke City Public Schools,Breckinridge Middle,High Poverty,Title I,0,0,100,3
2023 - 2024,SCH,Roanoke City Public Schools,Crystal Spring Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Crystal Spring Elementary,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Crystal Spring Elementary,High Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Crystal Spring Elementary,High Poverty,Non-Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Fairview Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Fairview Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Fairview Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Fairview Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Fallon Park Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Fallon Park Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Fallon Park Elementary,High Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Fallon Park Elementary,High Poverty,Title I,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Fishburn Park Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Fishburn Park Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Fishburn Park Elementary,High Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Fishburn Park Elementary,High Poverty,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Garden City Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Garden City Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Garden City Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Garden City Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Grandin Court Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Grandin Court Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Grandin Court Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Grandin Court Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Highland Park Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Highland Park Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Highland Park Elementary,High Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Highland Park Elementary,High Poverty,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Hurt Park Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Hurt Park Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Hurt Park Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Hurt Park Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,James Madison Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,James Madison Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,James Madison Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,James Madison Middle,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,John P. Fishwick Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,John P. Fishwick Middle,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,John P. Fishwick Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,John P. Fishwick Middle,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Lincoln Terrace Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Lincoln Terrace Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Lincoln Terrace Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Lincoln Terrace Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Monterey Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Monterey Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Monterey Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Monterey Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Morningside Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Morningside Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Morningside Elementary,High Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Morningside Elementary,High Poverty,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Patrick Henry High,All Schools,All Schools,33.3,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,Patrick Henry High,All Schools,Non-Title I,33.3,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,Patrick Henry High,High Poverty,All Schools,33.3,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,Patrick Henry High,High Poverty,Non-Title I,33.3,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,Preston Park Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Preston Park Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Preston Park Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Preston Park Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,High Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,High Poverty,Title I,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Round Hill Elementary,All Schools,All Schools,0,0,100,2
2023 - 2024,SCH,Roanoke City Public Schools,Round Hill Elementary,All Schools,Title I,0,0,100,2
2023 - 2024,SCH,Roanoke City Public Schools,Round Hill Elementary,High Poverty,All Schools,0,0,100,2
2023 - 2024,SCH,Roanoke City Public Schools,Round Hill Elementary,High Poverty,Title I,0,0,100,2
2023 - 2024,SCH,Roanoke City Public Schools,Virginia Heights Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Virginia Heights Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Virginia Heights Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Virginia Heights Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke City Public Schools,Wasena Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Wasena Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Wasena Elementary,High Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Wasena Elementary,High Poverty,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke City Public Schools,Westside Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Westside Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Westside Elementary,High Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Westside Elementary,High Poverty,Title I,0,0,50,1
2023 - 2024,SCH,Roanoke City Public Schools,William Fleming High,All Schools,All Schools,50,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,William Fleming High,All Schools,Title I,50,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,William Fleming High,High Poverty,All Schools,50,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,William Fleming High,High Poverty,Title I,50,1,16.7,1
2023 - 2024,SCH,Roanoke City Public Schools,Woodrow Wilson Middle,All Schools,All Schools,50,1,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Woodrow Wilson Middle,All Schools,Non-Title I,50,1,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Woodrow Wilson Middle,High Poverty,All Schools,50,1,50,1
2023 - 2024,SCH,Roanoke City Public Schools,Woodrow Wilson Middle,High Poverty,Non-Title I,50,1,50,1
2023 - 2024,SCH,Roanoke County Public Schools,Back Creek Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Back Creek Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Back Creek Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Back Creek Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Bonsack Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Bonsack Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Bonsack Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Bonsack Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Burlington Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Burlington Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Burlington Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Burlington Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Clearbrook Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Clearbrook Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Clearbrook Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Clearbrook Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,Low Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,Low Poverty,Non-Title I,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Glen Cove Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Glen Cove Elementary,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Green Valley Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Green Valley Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Herman L. Horn Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Herman L. Horn Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mason's Cove Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mason's Cove Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mount Pleasant Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Mount Pleasant Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Mountain View Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mountain View Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Northside High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Northside High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Northside Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Northside Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Oak Grove Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Oak Grove Elementary,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,W.E. Cundiff Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,W.E. Cundiff Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Central Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Central Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Fairfield Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Fairfield Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Maury River Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Maury River Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Mountain View Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Mountain View Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Natural Bridge Elementary,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Natural Bridge Elementary,All Schools,Title I,100,1,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Rockbridge County High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockbridge County Public Schools,Rockbridge County High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Broadway High,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Rockingham County Public Schools,Broadway High,All Schools,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Rockingham County Public Schools,Cub Run Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Cub Run Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,East Rockingham High,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Rockingham County Public Schools,East Rockingham High,All Schools,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Middle,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Middle,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Rockingham County Public Schools,Fulks Run Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Fulks Run Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,J. Frank Hillyard Middle,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Rockingham County Public Schools,J. Frank Hillyard Middle,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Rockingham County Public Schools,John C. Myers Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,John C. Myers Elementary,All Schools,Title I,0,0,0,0
