Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Bedford County Public Schools,Liberty Middle,528.34,845,8609,9454,13,3825,3838,13292,396746,7022581,858,12434
2023 - 2024,SCH,Bedford County Public Schools,Moneta Elementary,225.43,909,8441,9350,13,3825,3838,13188,260272,2972953,922,12266
2023 - 2024,SCH,Bedford County Public Schools,Montvale Elementary,248.41,818,9028,9847,13,3825,3838,13685,236368,3399411,831,12853
2023 - 2024,SCH,Bedford County Public Schools,New London Academy Elementary,329.66,528,8422,8950,13,3825,3838,12788,260695,4215587,541,12247
2023 - 2024,SCH,Bedford County Public Schools,Otter River Elementary,169.41,395,10111,10506,13,3825,3838,14344,162680,2430055,408,13936
2023 - 2024,SCH,Bedford County Public Schools,Staunton River High,850.99,576,8258,8834,13,3825,3838,12672,562751,10783967,589,12083
2023 - 2024,SCH,Bedford County Public Schools,Staunton River Middle,570.95,546,8403,8949,13,3825,3838,12787,502902,7300823,559,12228
2023 - 2024,SCH,Bedford County Public Schools,Stewartsville Elementary,319.07,1180,7646,8826,13,3825,3838,12664,325257,4040677,1193,11471
2023 - 2024,SCH,Bedford County Public Schools,Thomas Jefferson Elementary,530.51,336,8510,8846,13,3825,3838,12684,260788,6729098,349,12335
2023 - 2024,SCH,Bland County Public Schools,Bland County Elementary ,355.16,567,13248,13815,102,4294,4396,18211,0,6467684,669,17542
2023 - 2024,SCH,Bland County Public Schools,Bland County High,444.56,124,6295,6419,102,4294,4396,10815,119302,4808020,226,10589
2023 - 2024,SCH,Botetourt County Public Schools,Breckinridge Elementary,201.76,828,13163,13991,36,3626,3662,17653,169552,3561680,864,16789
