Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Russell County Public Schools,Honaker Elementary,614.34,942,6533,7475,528,4468,4996,12471,0,7661242,1470,11001
2023 - 2024,SCH,Russell County Public Schools,Honaker High,431.68,387,7535,7922,528,4468,4996,12918,0,5576479,915,12003
2023 - 2024,SCH,Russell County Public Schools,Lebanon Elementary,292.29,1095,7177,8272,528,4468,4996,13268,0,3878175,1623,11645
2023 - 2024,SCH,Russell County Public Schools,Lebanon High,591.89,515,6265,6780,528,4468,4996,11776,0,6970215,1043,10733
2023 - 2024,SCH,Russell County Public Schools,Lebanon Middle,302.3,1027,6873,7900,528,4468,4996,12896,0,3898512,1555,11341
2023 - 2024,SCH,Russell County Public Schools,Lebanon Primary,283.9,1275,6357,7633,528,4468,4996,12629,0,3585250,1803,10825
2023 - 2024,SCH,Salem City Public Schools,Andrew Lewis Middle,835.61,536,9109,9645,283,3812,4094,13740,0,11480992,819,12921
2023 - 2024,SCH,Salem City Public Schools,East Salem Elementary,371.91,1432,11295,12726,283,3812,4094,16821,0,6255867,1715,15107
2023 - 2024,SCH,Salem City Public Schools,G.W. Carver Elementary,410.05,1271,9935,11206,283,3812,4094,15300,0,6273810,1554,13747
2023 - 2024,SCH,Salem City Public Schools,Salem High,1190.03,297,9690,9987,283,3812,4094,14081,163679,16757204,580,13502
2023 - 2024,SCH,Salem City Public Schools,South Salem Elementary,386.59,503,9594,10097,283,3812,4094,14192,0,5486322,786,13406
2023 - 2024,SCH,Salem City Public Schools,Virginia Virtual Academy at Salem,681.8,0,5540,5540,283,3812,4094,9635,0,6568905,283,9352
2023 - 2024,SCH,Salem City Public Schools,West Salem Elementary,387.56,289,10302,10591,283,3812,4094,14686,0,5691579,572,14114
2023 - 2024,SCH,Scott County Public Schools,Duffield-Pattonsville Primary,296.99,1357,7053,8410,78,2150,2228,10637,101096,3159168,1435,9203
2023 - 2024,SCH,Scott County Public Schools,Dungannon Elementary,138.96,2053,9589,11642,78,2150,2228,13870,68282,1927367,2131,11739
2023 - 2024,SCH,Scott County Public Schools,Gate City High,590.34,310,7253,7564,78,2150,2228,9791,0,5780169,388,9403
2023 - 2024,SCH,Scott County Public Schools,Gate City Middle,306.65,650,8782,9432,78,2150,2228,11660,197251,3575611,728,10932
2023 - 2024,SCH,Scott County Public Schools,Hilton Elementary,152.25,2543,12185,14728,78,2150,2228,16956,117871,2581511,2621,14335
2023 - 2024,SCH,Scott County Public Schools,Nickelsville Elementary,303.17,1972,7517,9488,78,2150,2228,11716,98367,3551910,2050,9667
2023 - 2024,SCH,Scott County Public Schools,Rye Cove High,304.85,635,8906,9541,78,2150,2228,11768,112746,3587619,713,11056
2023 - 2024,SCH,Scott County Public Schools,Rye Cove Intermediate,155.07,1169,9980,11149,78,2150,2228,13377,72232,2074345,1247,12130
2023 - 2024,SCH,Scott County Public Schools,Shoemaker Elementary,476.86,1838,6396,8234,78,2150,2228,10461,180524,4988638,1916,8546
2023 - 2024,SCH,Scott County Public Schools,Twin Springs High,238.71,796,11105,11901,78,2150,2228,14128,98768,3372589,874,13255
2023 - 2024,SCH,Scott County Public Schools,Virginia Connections Academy,725.34,0,12234,12234,78,2150,2228,14462,0,10489897,78,14384
2023 - 2024,SCH,Scott County Public Schools,Weber City Elementary,369.47,1302,6820,8122,78,2150,2228,10350,113362,3823861,1380,8970
2023 - 2024,SCH,Scott County Public Schools,Yuma Elementary,192.66,874,8619,9493,78,2150,2228,11721,58964,2258117,952,10769
2023 - 2024,SCH,Shenandoah County Public Schools,Ashby-Lee Elementary,675.87,1368,7446,8814,364,4374,4737,13551,0,9159006,1732,11820
2023 - 2024,SCH,Shenandoah County Public Schools,Central High,716.45,267,8848,9115,364,4374,4737,13852,18346,9924504,631,13222
2023 - 2024,SCH,Shenandoah County Public Schools,North Fork Middle,353.8,951,10384,11335,364,4374,4737,16073,1805,5686584,1315,14758
2023 - 2024,SCH,Shenandoah County Public Schools,Peter Muhlenberg Middle,494.61,469,9347,9816,364,4374,4737,14553,3429,7198182,833,13721
2023 - 2024,SCH,Shenandoah County Public Schools,Sandy Hook Elementary,846.85,855,7029,7885,364,4374,4737,12622,686,10689247,1219,11403
2023 - 2024,SCH,Shenandoah County Public Schools,Signal Knob Middle,399.03,603,9545,10147,364,4374,4737,14885,4597,5939365,967,13919
2023 - 2024,SCH,Shenandoah County Public Schools,Stonewall Jackson High,498.13,823,10177,11000,364,4374,4737,15737,14764,7839104,1187,14551
2023 - 2024,SCH,Shenandoah County Public Schools,Strasburg High,600.42,692,7937,8629,364,4374,4737,13367,27264,8025698,1056,12311
2023 - 2024,SCH,Shenandoah County Public Schools,W.W. Robinson Elementary,1049.7,1510,7162,8672,364,4374,4737,13409,0,14075880,1874,11536
2023 - 2024,SCH,Smyth County Public Schools,Atkins Elementary,172.35,1670,9063,10733,931,3612,4543,15276,14986,2632791,2601,12675
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie Elementary,549.05,1350,7146,8497,931,3612,4543,13040,46452,7159515,2281,10758
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie High,395.11,562,8546,9108,931,3612,4543,13651,163092,5393581,1493,12158
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie Middle,294.1,974,7799,8773,931,3612,4543,13316,17190,3916212,1905,11411
2023 - 2024,SCH,Smyth County Public Schools,Marion Elementary,304.34,1490,8374,9863,931,3612,4543,14406,26943,4384451,2421,11986
2023 - 2024,SCH,Smyth County Public Schools,Marion Middle,389.84,694,9879,10573,931,3612,4543,15116,35880,5892797,1625,13491
2023 - 2024,SCH,Smyth County Public Schools,Marion Senior High,585.65,478,9830,10308,931,3612,4543,14852,462460,8697802,1409,13442
2023 - 2024,SCH,Smyth County Public Schools,Northwood High,224.03,1007,11390,12396,931,3612,4543,16939,115911,3794955,1938,15002
2023 - 2024,SCH,Smyth County Public Schools,Northwood Middle,161.69,719,12404,13124,931,3612,4543,17667,5404,2856555,1650,16016
2023 - 2024,SCH,Smyth County Public Schools,Oak Point Elementary,377.18,1764,10452,12216,931,3612,4543,16759,31113,6321236,2695,14064
2023 - 2024,SCH,Smyth County Public Schools,Rich Valley Elementary,128.01,2582,10393,12975,931,3612,4543,17518,10934,2242540,3513,14005
2023 - 2024,SCH,Smyth County Public Schools,Saltville Elementary,188.06,1838,11157,12996,931,3612,4543,17539,10929,3298328,2769,14769
2023 - 2024,SCH,Smyth County Public Schools,Sugar Grove Elementary,100.04,3472,12008,15481,931,3612,4543,20024,8262,2003194,4403,15620
2023 - 2024,SCH,Southampton County Public Schools,Capron Elementary,186.24,812,7711,8523,266,5768,6034,14557,0,2711063,1078,13479
2023 - 2024,SCH,Southampton County Public Schools,Meherrin Elementary,231.2,1030,9041,10071,266,5768,6034,16104,0,3723341,1296,14809
2023 - 2024,SCH,Southampton County Public Schools,Nottoway Elementary,244.65,871,7501,8372,266,5768,6034,14406,0,3524449,1137,13269
2023 - 2024,SCH,Southampton County Public Schools,Riverdale Elementary,558.63,793,6621,7413,266,5768,6034,13447,0,7512036,1059,12389
2023 - 2024,SCH,Southampton County Public Schools,Southampton High,713.65,217,8158,8375,266,5768,6034,14409,14304,10283007,483,13926
2023 - 2024,SCH,Southampton County Public Schools,Southampton Middle,521.54,598,7185,7783,266,5768,6034,13817,0,7206150,864,12953
2023 - 2024,SCH,Spotsylvania County Public Schools,Battlefield Elementary,664.14,628,7817,8445,394,5307,5701,14145,41610,9394415,1022,13124
2023 - 2024,SCH,Spotsylvania County Public Schools,Battlefield Middle,763.77,445,8715,9159,394,5307,5701,14860,1577,11349678,839,14022
2023 - 2024,SCH,Spotsylvania County Public Schools,Berkeley Elementary,281.98,629,12551,13181,394,5307,5701,18882,149824,5324222,1023,17858
2023 - 2024,SCH,Spotsylvania County Public Schools,Brock Road Elementary,689.1,388,8499,8887,394,5307,5701,14588,53817,10052690,782,13806
2023 - 2024,SCH,Spotsylvania County Public Schools,Cedar Forest Elementary,787.12,1203,7711,8915,394,5307,5701,14615,690,11503917,1597,13018
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor Elementary,436.71,243,9203,9446,394,5307,5701,15147,72551,6614637,637,14510
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor High,1327.03,398,7111,7509,394,5307,5701,13210,35504,17529594,792,12418
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor Middle,789.67,257,9701,9958,394,5307,5701,15659,3230,12365250,651,15008
2023 - 2024,SCH,Spotsylvania County Public Schools,Courthouse Road Elementary,766.69,427,8423,8850,394,5307,5701,14551,9662,11155889,821,13730
2023 - 2024,SCH,Spotsylvania County Public Schools,Courtland Elementary,568.44,573,9101,9674,394,5307,5701,15374,36917,8739315,967,14408
2023 - 2024,SCH,Spotsylvania County Public Schools,Courtland High,1472.06,411,7412,7823,394,5307,5701,13524,922,19908011,805,12719
2023 - 2024,SCH,Spotsylvania County Public Schools,Freedom Middle,748.05,421,9184,9605,394,5307,5701,15306,58297,11449613,815,14491
2023 - 2024,SCH,Spotsylvania County Public Schools,Harrison Road Elementary,732.24,1277,8316,9593,394,5307,5701,15294,84819,11198937,1671,13623
2023 - 2024,SCH,Spotsylvania County Public Schools,Lee Hill Elementary,685.24,237,7601,7838,394,5307,5701,13539,851,9277318,631,12908
2023 - 2024,SCH,Spotsylvania County Public Schools,Livingston Elementary,449.57,805,9341,10146,394,5307,5701,15847,1690,7124201,1199,14648
2023 - 2024,SCH,Spotsylvania County Public Schools,Massaponax High,1659.1,220,8289,8508,394,5307,5701,14209,41888,23574284,614,13596
2023 - 2024,SCH,Spotsylvania County Public Schools,Ni River Middle,706.4,650,8295,8945,394,5307,5701,14646,39993,10345747,1044,13602
2023 - 2024,SCH,Spotsylvania County Public Schools,Parkside Elementary,928.59,398,7132,7530,394,5307,5701,13231,612,12285760,792,12439
2023 - 2024,SCH,Spotsylvania County Public Schools,Post Oak Middle,705.4,564,8623,9188,394,5307,5701,14888,471,10502117,958,13930
2023 - 2024,SCH,Spotsylvania County Public Schools,Riverbend High ,1902.33,171,6907,7079,394,5307,5701,12779,35406,24310284,565,12214
2023 - 2024,SCH,Spotsylvania County Public Schools,Riverview Elementary,677.26,857,8702,9560,394,5307,5701,15260,79081,10335230,1251,14009
2023 - 2024,SCH,Spotsylvania County Public Schools,Salem Elementary,570.12,1114,8765,9880,394,5307,5701,15580,1507,8882557,1508,14072
2023 - 2024,SCH,Spotsylvania County Public Schools,Smith Station Elementary,704.44,294,8898,9191,394,5307,5701,14892,117166,10490440,688,14205
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotswood Elementary,518.73,743,8259,9002,394,5307,5701,14702,38400,7626467,1137,13566
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania Elementary,590.61,242,7268,7509,394,5307,5701,13210,68307,7801969,636,12575
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania High,1302.94,180,7956,8136,394,5307,5701,13837,73726,18028690,574,13263
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania Middle,992.47,181,7555,7735,394,5307,5701,13436,33817,13334592,575,12862
2023 - 2024,SCH,Spotsylvania County Public Schools,Thornburg Middle,727.95,275,8810,9086,394,5307,5701,14786,736,10763692,669,14117
2023 - 2024,SCH,Spotsylvania County Public Schools,Wilderness Elementary,650.45,471,8679,9151,394,5307,5701,14851,63398,9659986,865,13986
2023 - 2024,SCH,Stafford County Public Schools,Andrew G. Wright Middle,843.68,349,8592,8941,168,3752,3920,12861,0,10850747,517,12344
2023 - 2024,SCH,Stafford County Public Schools,Anne E. Moncure Elementary,861.38,1046,10151,11197,168,3752,3920,15117,0,13021147,1214,13903
2023 - 2024,SCH,Stafford County Public Schools,Anthony Burns Elementary,748.37,662,8853,9515,168,3752,3920,13435,0,10054098,830,12605
2023 - 2024,SCH,Stafford County Public Schools,Brooke Point High,2217.1,333,7998,8331,168,3752,3920,12252,116516,27162839,501,11750
2023 - 2024,SCH,Stafford County Public Schools,Colonial Forge High,1965.45,363,8473,8835,168,3752,3920,12755,196934,25069612,531,12225
2023 - 2024,SCH,Stafford County Public Schools,Conway Elementary,927.81,640,8884,9524,168,3752,3920,13444,0,12473317,808,12636
2023 - 2024,SCH,Stafford County Public Schools,Donald B. Dixon-Lyle R. Smith Middle,873.2,437,9264,9700,168,3752,3920,13620,0,11893278,605,13016
2023 - 2024,SCH,Stafford County Public Schools,Edward E. Drew Jr. Middle,601.71,762,12405,13167,168,3752,3920,17087,0,10281403,930,16157
2023 - 2024,SCH,Stafford County Public Schools,Falmouth Elementary,721.71,647,9849,10496,168,3752,3920,14416,0,10404177,815,13601
2023 - 2024,SCH,Stafford County Public Schools,Ferry Farm Elementary,547.84,927,12242,13170,168,3752,3920,17090,0,9362533,1095,15994
2023 - 2024,SCH,Stafford County Public Schools,Garrisonville Elementary,747.48,411,8717,9127,168,3752,3920,13047,0,9752717,579,12469
2023 - 2024,SCH,Stafford County Public Schools,Grafton Village Elementary,745.57,364,9911,10274,168,3752,3920,14195,0,10583019,532,13663
2023 - 2024,SCH,Stafford County Public Schools,H.H. Poole Middle,1037.87,311,7761,8072,168,3752,3920,11992,0,12446523,479,11513
2023 - 2024,SCH,Stafford County Public Schools,Hampton Oaks Elementary,912.65,363,8249,8611,168,3752,3920,12531,0,11436782,531,12001
2023 - 2024,SCH,Stafford County Public Schools,Hartwood Elementary,609.06,422,9647,10068,168,3752,3920,13988,0,8519794,590,13399
2023 - 2024,SCH,Stafford County Public Schools,Kate Waller Barrett Elementary,791.65,848,9645,10493,168,3752,3920,14413,0,11410420,1016,13397
2023 - 2024,SCH,Stafford County Public Schools,Margaret Brent Elementary ,810.39,278,9199,9477,168,3752,3920,13397,0,10856557,446,12951
2023 - 2024,SCH,Stafford County Public Schools,Mountain View High ,2164.44,258,8203,8460,168,3752,3920,12381,159755,26796921,426,11955
2023 - 2024,SCH,Stafford County Public Schools,North Stafford High,2015.33,306,8239,8545,168,3752,3920,12465,178503,25120918,474,11991
2023 - 2024,SCH,Stafford County Public Schools,Park Ridge Elementary,886.28,275,8551,8826,168,3752,3920,12746,0,11296186,443,12303
2023 - 2024,SCH,Stafford County Public Schools,Rockhill Elementary,661.98,365,9995,10360,168,3752,3920,14280,0,9453036,533,13747
2023 - 2024,SCH,Stafford County Public Schools,Rocky Run Elementary,906.53,708,9339,10047,168,3752,3920,13967,0,12661523,876,13091
2023 - 2024,SCH,Stafford County Public Schools,Rodney E. Thompson Middle,1039.85,380,7944,8324,168,3752,3920,12244,0,12732249,548,11696
2023 - 2024,SCH,Stafford County Public Schools,Shirley C. Heim Middle,958.35,429,7914,8342,168,3752,3920,12262,0,11751634,597,11666
2023 - 2024,SCH,Stafford County Public Schools,Stafford Elementary,827.62,298,7805,8103,168,3752,3920,12023,0,9950463,466,11557
2023 - 2024,SCH,Stafford County Public Schools,Stafford Middle,937.12,370,8061,8432,168,3752,3920,12352,0,11575208,538,11813
2023 - 2024,SCH,Stafford County Public Schools,Stafford Senior High,2174.62,257,8544,8801,168,3752,3920,12721,342999,27663564,425,12296
2023 - 2024,SCH,Stafford County Public Schools,T. Benton Gayle Middle,930.53,416,8990,9407,168,3752,3920,13327,0,12400988,584,12742
2023 - 2024,SCH,Stafford County Public Schools,Widewater Elementary,685.9,620,9776,10396,168,3752,3920,14316,0,9819085,788,13528
2023 - 2024,SCH,Stafford County Public Schools,Winding Creek Elementary,839.72,249,8416,8665,168,3752,3920,12586,0,10568300,417,12168
2023 - 2024,SCH,Staunton City Public Schools,Arthur R. Ware Elementary,367.66,1209,10391,11600,209,5232,5441,17040,0,6265043,1418,15623
2023 - 2024,SCH,Staunton City Public Schools,Bessie Weller Elementary,370.01,1579,9334,10913,209,5232,5441,16354,0,6051177,1788,14566
2023 - 2024,SCH,Staunton City Public Schools,Shelburne Middle,566.7,1164,9611,10775,209,5232,5441,16216,6619,9189648,1373,14843
2023 - 2024,SCH,Staunton City Public Schools,Staunton High,775.42,765,9924,10689,209,5232,5441,16130,692690,12507493,974,15156
2023 - 2024,SCH,Staunton City Public Schools,Thomas C. McSwain Elementary,426.09,850,8895,9745,209,5232,5441,15185,0,6470313,1059,14127
2023 - 2024,SCH,Suffolk City Public Schools,Booker T. Washington Elementary,343.91,2563,9749,12312,887,4933,5820,18132,0,6235806,3450,14682
2023 - 2024,SCH,Suffolk City Public Schools,Colonel Fred Cherry Middle,725.02,202,7796,7997,887,4933,5820,13818,14707,10018075,1089,12729
2023 - 2024,SCH,Suffolk City Public Schools,Creekside Elementary,742.72,685,6983,7668,887,4933,5820,13488,0,10018141,1572,11916
2023 - 2024,SCH,Suffolk City Public Schools,Elephant's Fork Elementary,642.13,1038,6999,8038,887,4933,5820,13858,0,8898435,1925,11932
2023 - 2024,SCH,Suffolk City Public Schools,Florence Bowser Elementary,876.84,285,6381,6667,887,4933,5820,12487,0,10948909,1172,11314
2023 - 2024,SCH,Suffolk City Public Schools,Forest Glen Middle,437.46,197,9101,9298,887,4933,5820,15118,0,6613432,1084,14034
2023 - 2024,SCH,Suffolk City Public Schools,Hillpoint Elementary,738.18,664,5801,6465,887,4933,5820,12285,0,9068476,1551,10734
2023 - 2024,SCH,Suffolk City Public Schools,John F. Kennedy Middle,546,291,9059,9350,887,4933,5820,15170,0,8282959,1178,13992
2023 - 2024,SCH,Suffolk City Public Schools,John Yeates Middle,515.38,592,10263,10855,887,4933,5820,16675,0,8593831,1479,15196
2023 - 2024,SCH,Suffolk City Public Schools,Kilby Shores Elementary,467.63,1045,8330,9375,887,4933,5820,15195,0,7105668,1932,13263
2023 - 2024,SCH,Suffolk City Public Schools,King's Fork High,1638.17,213,7471,7684,887,4933,5820,13504,9132,22121983,1100,12404
2023 - 2024,SCH,Suffolk City Public Schools,King's Fork Middle,981.32,196,7708,7904,887,4933,5820,13724,0,13467612,1083,12641
2023 - 2024,SCH,Suffolk City Public Schools,Lakeland High,1039.73,237,8834,9071,887,4933,5820,14891,13092,15482770,1124,13767
2023 - 2024,SCH,Suffolk City Public Schools,Mack Benn Jr. Elementary,702.28,1251,6882,8133,887,4933,5820,13953,0,9799165,2138,11815
2023 - 2024,SCH,Suffolk City Public Schools,Nansemond Parkway Elementary,440.16,1110,8606,9716,887,4933,5820,15536,0,6838301,1997,13539
2023 - 2024,SCH,Suffolk City Public Schools,Nansemond River High,1616.93,32,7632,7663,887,4933,5820,13483,9333,21801846,919,12565
2023 - 2024,SCH,Suffolk City Public Schools,Northern Shores Elementary,834.84,544,6630,7174,887,4933,5820,12995,0,10848461,1431,11563
2023 - 2024,SCH,Suffolk City Public Schools,Oakland Elementary,480.93,897,7744,8640,887,4933,5820,14461,0,6954558,1784,12677
2023 - 2024,SCH,Suffolk City Public Schools,Southwestern Elementary,606.2,717,7087,7804,887,4933,5820,13624,0,8259085,1604,12020
2023 - 2024,SCH,Surry County Public Schools,Luther P. Jackson Middle,204.13,2338,12673,15011,414,8353,8767,23777,0,4853634,2752,21026
2023 - 2024,SCH,Surry County Public Schools,Surry County High,197.05,1629,23721,25350,414,8353,8767,34116,60263,6722649,2043,32074
2023 - 2024,SCH,Surry County Public Schools,Surry Elementary,279.98,1915,10616,12531,414,8353,8767,21297,0,5962793,2329,18969
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central Elementary,468.6,1663,10085,11748,1696,9834,11530,23278,0,10908092,3359,19919
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central High,301.6,419,12328,12747,1696,9834,11530,24277,230883,7321826,2115,22162
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central Middle,220.58,0,11219,11219,1696,9834,11530,22748,0,5017844,1696,21053
2023 - 2024,SCH,Tazewell County Public Schools,Abb's Valley-Boissevain Elementary,154.19,1545,6756,8300,1280,4210,5491,13791,0,2126421,2825,10966
2023 - 2024,SCH,Tazewell County Public Schools,Cedar Bluff Elementary,347.3,1815,7295,9110,1280,4210,5491,14601,0,5070792,3095,11505
2023 - 2024,SCH,Tazewell County Public Schools,Dudley Primary,243.08,1537,8079,9616,1280,4210,5491,15107,0,3672133,2817,12289
2023 - 2024,SCH,Tazewell County Public Schools,Graham High,517.94,395,7460,7855,1280,4210,5491,13345,58000,6912136,1675,11670
2023 - 2024,SCH,Tazewell County Public Schools,Graham Intermediate,380.66,873,7578,8451,1280,4210,5491,13942,0,5307117,2153,11788
2023 - 2024,SCH,Tazewell County Public Schools,Graham Middle,322.27,677,8889,9566,1280,4210,5491,15056,1288,4852200,1957,13099
2023 - 2024,SCH,Tazewell County Public Schools,Richlands Elementary,552.4,1554,8296,9850,1280,4210,5491,15341,0,8474186,2834,12506
2023 - 2024,SCH,Tazewell County Public Schools,Richlands High,580.68,742,8343,9085,1280,4210,5491,14575,33297,8463606,2022,12553
2023 - 2024,SCH,Tazewell County Public Schools,Richlands Middle,456.57,741,8252,8993,1280,4210,5491,14484,96,6612962,2021,12462
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell High,491.77,247,8342,8589,1280,4210,5491,14080,34796,6924031,1527,12552
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Intermediate,363.77,1313,6550,7863,1280,4210,5491,13354,0,4857626,2593,10760
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Middle,374.13,833,8661,9494,1280,4210,5491,14984,4618,5606007,2113,12871
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Primary,432.53,1299,7068,8367,1280,4210,5491,13857,0,5993643,2579,11278
2023 - 2024,SCH,Virginia Beach City Public Schools,Alanton Elementary,625.08,1527,13728,15255,0,0,0,15255,0,9535585,1527,13728
2023 - 2024,SCH,Virginia Beach City Public Schools,Arrowhead Elementary,532.15,1749,13422,15171,0,0,0,15171,0,8073079,1749,13422
2023 - 2024,SCH,Virginia Beach City Public Schools,Bayside 6th Grade Campus,309.49,2275,18280,20555,0,0,0,20555,0,6361527,2275,18280
2023 - 2024,SCH,Virginia Beach City Public Schools,Bayside Elementary,510.61,2215,14026,16241,0,0,0,16241,0,8292920,2215,14026
2023 - 2024,SCH,Virginia Beach City Public Schools,Bayside High,1912.8,860,11872,12733,0,0,0,12733,0,24354784,860,11872
2023 - 2024,SCH,Virginia Beach City Public Schools,Bayside Middle,692.5,1936,14293,16229,0,0,0,16229,0,11238503,1936,14293
2023 - 2024,SCH,Virginia Beach City Public Schools,Birdneck Elementary,621.82,1849,16068,17916,0,0,0,17916,0,11140812,1849,16068
2023 - 2024,SCH,Virginia Beach City Public Schools,Brandon Middle,1026.01,890,13115,14006,0,0,0,14006,0,14370016,890,13115
2023 - 2024,SCH,Virginia Beach City Public Schools,Brookwood Elementary,586,1238,13966,15204,0,0,0,15204,0,8909625,1238,13966
2023 - 2024,SCH,Virginia Beach City Public Schools,Centerville Elementary,568.54,1297,14103,15399,0,0,0,15399,0,8755216,1297,14103
2023 - 2024,SCH,Virginia Beach City Public Schools,Christopher Farms Elementary,618.27,883,13026,13908,0,0,0,13908,0,8599170,883,13026
2023 - 2024,SCH,Virginia Beach City Public Schools,College Park Elementary,482.15,2677,15526,18204,0,0,0,18204,0,8777035,2677,15526
2023 - 2024,SCH,Virginia Beach City Public Schools,Corporate Landing Elementary,410.09,1333,17696,19029,0,0,0,19029,0,7803490,1333,17696
2023 - 2024,SCH,Virginia Beach City Public Schools,Corporate Landing Middle,1031.02,1135,13626,14761,0,0,0,14761,0,15218969,1135,13626
2023 - 2024,SCH,Virginia Beach City Public Schools,Creeds Elementary,329.07,1018,16568,17586,0,0,0,17586,0,5787171,1018,16568
2023 - 2024,SCH,Virginia Beach City Public Schools,Diamond Springs Elementary,500.31,2365,15923,18288,0,0,0,18288,0,9149630,2365,15923
2023 - 2024,SCH,Virginia Beach City Public Schools,Fairfield Elementary,479.01,1128,14659,15787,0,0,0,15787,0,7562161,1128,14659
2023 - 2024,SCH,Virginia Beach City Public Schools,First Colonial High,1666.92,943,12507,13450,0,0,0,13450,0,22420289,943,12507
2023 - 2024,SCH,Virginia Beach City Public Schools,Floyd Kellam High,1868.09,1095,12207,13302,0,0,0,13302,0,24848714,1095,12207
2023 - 2024,SCH,Virginia Beach City Public Schools,Frank W. Cox High,1596.51,864,13068,13932,0,0,0,13932,0,22242491,864,13068
2023 - 2024,SCH,Virginia Beach City Public Schools,Glenwood Elementary,982.76,1019,13330,14349,0,0,0,14349,0,14101853,1019,13330
2023 - 2024,SCH,Virginia Beach City Public Schools,Great Neck Middle,1053.14,894,12449,13343,0,0,0,13343,0,14052036,894,12449
2023 - 2024,SCH,Virginia Beach City Public Schools,Green Run Collegiate,366.6,742,15027,15769,0,0,0,15769,0,5780917,742,15027
2023 - 2024,SCH,Virginia Beach City Public Schools,Green Run Elementary,331.96,2828,17677,20505,0,0,0,20505,0,6806913,2828,17677
2023 - 2024,SCH,Virginia Beach City Public Schools,Green Run High,1381.1,1130,13698,14828,0,0,0,14828,0,20479126,1130,13698
2023 - 2024,SCH,Virginia Beach City Public Schools,Hermitage Elementary,544.94,1211,13250,14462,0,0,0,14462,0,7880752,1211,13250
2023 - 2024,SCH,Virginia Beach City Public Schools,Holland Elementary,452.5,3091,15486,18577,0,0,0,18577,0,8406235,3091,15486
2023 - 2024,SCH,Virginia Beach City Public Schools,Independence Middle,1192.55,999,12654,13654,0,0,0,13654,0,16282546,999,12654
2023 - 2024,SCH,Virginia Beach City Public Schools,Indian Lakes Elementary,497.82,1345,13713,15058,0,0,0,15058,0,7496081,1345,13713
2023 - 2024,SCH,Virginia Beach City Public Schools,John B. Dey Elementary,741.98,967,12750,13717,0,0,0,13717,0,10177735,967,12750
2023 - 2024,SCH,Virginia Beach City Public Schools,Kempsville Elementary,494.92,1495,14317,15812,0,0,0,15812,0,7825493,1495,14317
2023 - 2024,SCH,Virginia Beach City Public Schools,Kempsville High,1993.19,995,11664,12659,0,0,0,12659,0,25231976,995,11664
2023 - 2024,SCH,Virginia Beach City Public Schools,Kempsville Meadows Elementary,450.95,1953,14367,16320,0,0,0,16320,0,7359480,1953,14367
2023 - 2024,SCH,Virginia Beach City Public Schools,Kempsville Middle,710.37,929,14227,15157,0,0,0,15157,0,10766741,929,14227
2023 - 2024,SCH,Virginia Beach City Public Schools,King's Grant Elementary,484.49,1392,15401,16793,0,0,0,16793,0,8135952,1392,15401
2023 - 2024,SCH,Virginia Beach City Public Schools,Kingston Elementary,520.08,1192,13275,14466,0,0,0,14466,0,7523540,1192,13275
2023 - 2024,SCH,Virginia Beach City Public Schools,Landstown Elementary,636.09,1091,14079,15170,0,0,0,15170,0,9649586,1091,14079
2023 - 2024,SCH,Virginia Beach City Public Schools,Landstown High,2161.46,961,12228,13190,0,0,0,13190,0,28508825,961,12228
2023 - 2024,SCH,Virginia Beach City Public Schools,Landstown Middle,1266.03,941,12363,13304,0,0,0,13304,0,16843637,941,12363
2023 - 2024,SCH,Virginia Beach City Public Schools,Larkspur Middle,1470.97,1339,12590,13929,0,0,0,13929,0,20489525,1339,12590
2023 - 2024,SCH,Virginia Beach City Public Schools,Linkhorn Park Elementary,526.25,1206,14468,15673,0,0,0,15673,0,8248104,1206,14468
2023 - 2024,SCH,Virginia Beach City Public Schools,Luxford Elementary,509.67,2060,14722,16782,0,0,0,16782,0,8553098,2060,14722
