Provisionally Licensed,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Division,School,Level,Poverty Level,Special Education Percent,Provisional Percent,Title 1 Code,y,x10
2023 - 2024,Alleghany Highlands Public Schools,Jeter-Watson Elementary,SCH,Medium Poverty,0,3.1,0,1,Title I
2023 - 2024,Alleghany Highlands Public Schools,Mountain View Elementary,SCH,Medium Poverty,0,12.1,0,4,All Schools
2023 - 2024,Alleghany Highlands Public Schools,Mountain View Elementary,SCH,Medium Poverty,0,12.1,0,4,Title I
2023 - 2024,Alleghany Highlands Public Schools,Sharon Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Alleghany Highlands Public Schools,Sharon Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Amelia County Public Schools,Amelia County Elementary,SCH,Medium Poverty,0,5.5,0,3,All Schools
2023 - 2024,Amelia County Public Schools,Amelia County Elementary,SCH,Medium Poverty,0,5.5,0,3,Title I
2023 - 2024,Amelia County Public Schools,Amelia County High,SCH,Medium Poverty,4.4,15.6,2,7,All Schools
2023 - 2024,Amelia County Public Schools,Amelia County High,SCH,Medium Poverty,4.4,15.6,2,7,Non-Title I
2023 - 2024,Amelia County Public Schools,Amelia County Middle,SCH,Medium Poverty,0,10,0,4,All Schools
2023 - 2024,Amelia County Public Schools,Amelia County Middle,SCH,Medium Poverty,0,10,0,4,Non-Title I
2023 - 2024,Amherst County Public Schools,Amelon Elementary,SCH,Medium Poverty,2.5,2.5,1,1,All Schools
2023 - 2024,Amherst County Public Schools,Amelon Elementary,SCH,Medium Poverty,2.5,2.5,1,1,Title I
2023 - 2024,Amherst County Public Schools,Amherst County High,SCH,Medium Poverty,2.2,11.8,2,11,All Schools
2023 - 2024,Amherst County Public Schools,Amherst County High,SCH,Medium Poverty,2.2,11.8,2,11,Non-Title I
2023 - 2024,Amherst County Public Schools,Amherst Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Amherst County Public Schools,Amherst Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Amherst County Public Schools,Amherst Middle,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Amherst County Public Schools,Amherst Middle,SCH,Medium Poverty,0,0,0,0,Non-Title I
2023 - 2024,Amherst County Public Schools,Central Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Amherst County Public Schools,Central Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Amherst County Public Schools,Elon Elementary,SCH,Medium Poverty,0,6.9,0,2,All Schools
2023 - 2024,Amherst County Public Schools,Elon Elementary,SCH,Medium Poverty,0,6.9,0,2,Title I
2023 - 2024,Amherst County Public Schools,Madison Heights Elementary,SCH,Medium Poverty,0,4.9,0,2,All Schools
2023 - 2024,Amherst County Public Schools,Madison Heights Elementary,SCH,Medium Poverty,0,4.9,0,2,Title I
2023 - 2024,Amherst County Public Schools,Monelison Middle,SCH,Medium Poverty,2,3.9,1,2,All Schools
2023 - 2024,Amherst County Public Schools,Monelison Middle,SCH,Medium Poverty,2,3.9,1,2,Non-Title I
2023 - 2024,Amherst County Public Schools,Temperance Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Amherst County Public Schools,Temperance Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Appomattox County Public Schools,Appomattox County High,SCH,Medium Poverty,3.4,12.1,2,7,All Schools
2023 - 2024,Appomattox County Public Schools,Appomattox County High,SCH,Medium Poverty,3.4,12.1,2,7,Non-Title I
2023 - 2024,Appomattox County Public Schools,Appomattox Elementary,SCH,Medium Poverty,0,2.3,0,1,All Schools
2023 - 2024,Appomattox County Public Schools,Appomattox Elementary,SCH,Medium Poverty,0,2.3,0,1,Title I
2023 - 2024,Appomattox County Public Schools,Appomattox Middle,SCH,Medium Poverty,4.4,8.9,2,4,All Schools
2023 - 2024,Appomattox County Public Schools,Appomattox Middle,SCH,Medium Poverty,4.4,8.9,2,4,Non-Title I
2023 - 2024,Appomattox County Public Schools,Appomattox Primary,SCH,Medium Poverty,6.5,8.7,3,4,All Schools
2023 - 2024,Appomattox County Public Schools,Appomattox Primary,SCH,Medium Poverty,6.5,8.7,3,4,Title I
2023 - 2024,Arlington County Public Schools,Abingdon Elementary,SCH,Medium Poverty,2.6,3.9,2,3,All Schools
2023 - 2024,Arlington County Public Schools,Abingdon Elementary,SCH,Medium Poverty,2.6,3.9,2,3,Title I
2023 - 2024,Arlington County Public Schools,Alice West Fleet Elementary,SCH,Medium Poverty,7.7,18.5,5,12,All Schools
2023 - 2024,Arlington County Public Schools,Alice West Fleet Elementary,SCH,Medium Poverty,7.7,18.5,5,12,Non-Title I
2023 - 2024,Arlington County Public Schools,Arlington Community High,SCH,Low Poverty,0,0,0,0,All Schools
2023 - 2024,Arlington County Public Schools,Arlington Community High,SCH,Low Poverty,0,0,0,0,Non-Title I
2023 - 2024,Arlington County Public Schools,Arlington Science Focus School,SCH,Low Poverty,0,13.5,0,7,All Schools
2023 - 2024,Arlington County Public Schools,Arlington Science Focus School,SCH,Low Poverty,0,13.5,0,7,Non-Title I
2023 - 2024,Arlington County Public Schools,Arlington Traditional,SCH,Low Poverty,3.3,13.3,2,8,All Schools
2023 - 2024,Arlington County Public Schools,Arlington Traditional,SCH,Low Poverty,3.3,13.3,2,8,Non-Title I
2023 - 2024,Arlington County Public Schools,Ashlawn Elementary,SCH,Low Poverty,1.7,8.6,1,5,All Schools
2023 - 2024,Arlington County Public Schools,Ashlawn Elementary,SCH,Low Poverty,1.7,8.6,1,5,Non-Title I
2023 - 2024,Arlington County Public Schools,Barcroft Elementary,SCH,Medium Poverty,1.8,8.9,1,5,All Schools
2023 - 2024,Arlington County Public Schools,Barcroft Elementary,SCH,Medium Poverty,1.8,8.9,1,5,Title I
2023 - 2024,Arlington County Public Schools,Barrett Elementary,SCH,Medium Poverty,4.2,11.1,3,8,All Schools
2023 - 2024,Arlington County Public Schools,Barrett Elementary,SCH,Medium Poverty,4.2,11.1,3,8,Title I
2023 - 2024,Arlington County Public Schools,Campbell Elementary,SCH,Medium Poverty,0,3.8,0,2,All Schools
2023 - 2024,Arlington County Public Schools,Campbell Elementary,SCH,Medium Poverty,0,3.8,0,2,Title I
2023 - 2024,Arlington County Public Schools,Cardinal Elementary,SCH,Low Poverty,0,5.4,0,3,All Schools
2023 - 2024,Arlington County Public Schools,Cardinal Elementary,SCH,Low Poverty,0,5.4,0,3,Non-Title I
2023 - 2024,Arlington County Public Schools,Carlin Springs Elementary,SCH,Medium Poverty,5.4,13.5,4,10,All Schools
2023 - 2024,Arlington County Public Schools,Carlin Springs Elementary,SCH,Medium Poverty,5.4,13.5,4,10,Title I
2023 - 2024,Arlington County Public Schools,Claremont Immersion,SCH,Low Poverty,0,7.7,0,4,All Schools
2023 - 2024,Arlington County Public Schools,Claremont Immersion,SCH,Low Poverty,0,7.7,0,4,Non-Title I
2023 - 2024,Arlington County Public Schools,Discovery Elementary,SCH,Low Poverty,2.2,8.9,1,4,All Schools
2023 - 2024,Arlington County Public Schools,Discovery Elementary,SCH,Low Poverty,2.2,8.9,1,4,Non-Title I
2023 - 2024,Arlington County Public Schools,Dorothy Hamm Middle,SCH,Low Poverty,1.1,11.1,1,10,All Schools
2023 - 2024,Arlington County Public Schools,Dorothy Hamm Middle,SCH,Low Poverty,1.1,11.1,1,10,Non-Title I
2023 - 2024,Arlington County Public Schools,Dr. Charles R. Drew Elementary,SCH,Medium Poverty,8.6,13.8,5,8,All Schools
2023 - 2024,Arlington County Public Schools,Dr. Charles R. Drew Elementary,SCH,Medium Poverty,8.6,13.8,5,8,Title I
2023 - 2024,Arlington County Public Schools,Escuela Key Elementary,SCH,Low Poverty,0,5.9,0,3,All Schools
2023 - 2024,Arlington County Public Schools,Escuela Key Elementary,SCH,Low Poverty,0,5.9,0,3,Non-Title I
2023 - 2024,Arlington County Public Schools,Glebe Elementary,SCH,Low Poverty,0,4,0,2,All Schools
2023 - 2024,Arlington County Public Schools,Glebe Elementary,SCH,Low Poverty,0,4,0,2,Non-Title I
2023 - 2024,Arlington County Public Schools,Gunston Middle,SCH,Low Poverty,4,15.8,4,16,All Schools
2023 - 2024,Arlington County Public Schools,Gunston Middle,SCH,Low Poverty,4,15.8,4,16,Non-Title I
2023 - 2024,Arlington County Public Schools,Hoffman-Boston Elementary,SCH,Medium Poverty,9.7,15.3,7,11,All Schools
2023 - 2024,Arlington County Public Schools,Hoffman-Boston Elementary,SCH,Medium Poverty,9.7,15.3,7,11,Title I
2023 - 2024,Arlington County Public Schools,Innovation Elementary ,SCH,Medium Poverty,5.4,12.5,3,7,All Schools
2023 - 2024,Arlington County Public Schools,Innovation Elementary ,SCH,Medium Poverty,5.4,12.5,3,7,Non-Title I
2023 - 2024,Arlington County Public Schools,Jamestown Elementary,SCH,Low Poverty,0,4.1,0,2,All Schools
2023 - 2024,Arlington County Public Schools,Jamestown Elementary,SCH,Low Poverty,0,4.1,0,2,Non-Title I
2023 - 2024,Arlington County Public Schools,Jefferson Middle,SCH,Medium Poverty,5.7,15.1,6,16,All Schools
2023 - 2024,Arlington County Public Schools,Jefferson Middle,SCH,Medium Poverty,5.7,15.1,6,16,Non-Title I
2023 - 2024,Arlington County Public Schools,Kenmore Middle,SCH,Medium Poverty,6.4,15.5,7,17,All Schools
2023 - 2024,Arlington County Public Schools,Kenmore Middle,SCH,Medium Poverty,6.4,15.5,7,17,Non-Title I
2023 - 2024,Arlington County Public Schools,Long Branch Elementary,SCH,Low Poverty,5,11.7,3,7,All Schools
2023 - 2024,Arlington County Public Schools,Long Branch Elementary,SCH,Low Poverty,5,11.7,3,7,Non-Title I
2023 - 2024,Arlington County Public Schools,Montessori Public School of Arlington,SCH,Low Poverty,4.4,8.9,2,4,All Schools
2023 - 2024,Arlington County Public Schools,Montessori Public School of Arlington,SCH,Low Poverty,4.4,8.9,2,4,Non-Title I
2023 - 2024,Arlington County Public Schools,Nottingham Elementary,SCH,Low Poverty,2.7,8.1,1,3,All Schools
2023 - 2024,Arlington County Public Schools,Nottingham Elementary,SCH,Low Poverty,2.7,8.1,1,3,Non-Title I
2023 - 2024,Arlington County Public Schools,Oakridge Elementary,SCH,Low Poverty,3.3,18,2,11,All Schools
2023 - 2024,Arlington County Public Schools,Oakridge Elementary,SCH,Low Poverty,3.3,18,2,11,Non-Title I
2023 - 2024,Arlington County Public Schools,Randolph Elementary,SCH,Medium Poverty,6.8,11.9,4,7,All Schools
2023 - 2024,Arlington County Public Schools,Randolph Elementary,SCH,Medium Poverty,6.8,11.9,4,7,Title I
2023 - 2024,Arlington County Public Schools,Swanson Middle,SCH,Low Poverty,1.1,7.9,1,7,All Schools
2023 - 2024,Arlington County Public Schools,Swanson Middle,SCH,Low Poverty,1.1,7.9,1,7,Non-Title I
2023 - 2024,Arlington County Public Schools,Taylor Elementary,SCH,Low Poverty,8,12,4,6,All Schools
2023 - 2024,Arlington County Public Schools,Taylor Elementary,SCH,Low Poverty,8,12,4,6,Non-Title I
2023 - 2024,Arlington County Public Schools,Tuckahoe Elementary,SCH,Low Poverty,7.1,11.9,3,5,All Schools
2023 - 2024,Arlington County Public Schools,Tuckahoe Elementary,SCH,Low Poverty,7.1,11.9,3,5,Non-Title I
2023 - 2024,Arlington County Public Schools,Wakefield High,SCH,Medium Poverty,0.5,4.3,1,8,All Schools
2023 - 2024,Arlington County Public Schools,Wakefield High,SCH,Medium Poverty,0.5,4.3,1,8,Non-Title I
2023 - 2024,Arlington County Public Schools,Washington-Liberty High,SCH,Low Poverty,2.5,13.7,5,28,All Schools
