Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Chesterfield County Public Schools,Jacobs Road Elementary,SCH,58.7
2023 - 2024,Chesterfield County Public Schools,James River High,SCH,20
2023 - 2024,Chesterfield County Public Schools,Lloyd C. Bird High,SCH,23.3
2023 - 2024,Chesterfield County Public Schools,Manchester High,SCH,18.7
2023 - 2024,Chesterfield County Public Schools,Manchester Middle,SCH,46
2023 - 2024,Chesterfield County Public Schools,Marguerite F. Christian Elementary,SCH,55.2
2023 - 2024,Chesterfield County Public Schools,Matoaca Elementary,SCH,62.8
2023 - 2024,Chesterfield County Public Schools,Matoaca High,SCH,16.1
2023 - 2024,Chesterfield County Public Schools,Matoaca Middle,SCH,30.6
2023 - 2024,Chesterfield County Public Schools,Meadowbrook High,SCH,23
2023 - 2024,Chesterfield County Public Schools,Midlothian High,SCH,17
2023 - 2024,Chesterfield County Public Schools,Midlothian Middle,SCH,20.5
2023 - 2024,Chesterfield County Public Schools,Monacan High,SCH,11.2
2023 - 2024,Chesterfield County Public Schools,Moseley Elementary,SCH,32.2
2023 - 2024,Chesterfield County Public Schools,O.B. Gates Elementary,SCH,26.7
2023 - 2024,Chesterfield County Public Schools,Old Hundred Elementary,SCH,42.9
2023 - 2024,Chesterfield County Public Schools,Providence Elementary,SCH,56.2
2023 - 2024,Chesterfield County Public Schools,Providence Middle,SCH,50.7
2023 - 2024,Chesterfield County Public Schools,Reams Road Elementary,SCH,53.4
2023 - 2024,Chesterfield County Public Schools,Robious Elementary,SCH,36.7
2023 - 2024,Chesterfield County Public Schools,Robious Middle,SCH,36.7
2023 - 2024,Chesterfield County Public Schools,Salem Church Elementary,SCH,43.4
2023 - 2024,Chesterfield County Public Schools,Salem Church Middle,SCH,45.5
2023 - 2024,Chesterfield County Public Schools,Spring Run Elementary,SCH,30.1
2023 - 2024,Chesterfield County Public Schools,Swift Creek Elementary,SCH,39.4
2023 - 2024,Chesterfield County Public Schools,Swift Creek Middle,SCH,16.8
2023 - 2024,Chesterfield County Public Schools,Thelma Crenshaw Elementary,SCH,49.2
2023 - 2024,Chesterfield County Public Schools,Thomas Dale High,SCH,20.9
2023 - 2024,Chesterfield County Public Schools,Tomahawk Creek Middle,SCH,40.3
2023 - 2024,Chesterfield County Public Schools,W.W. Gordon Elementary,SCH,25
2023 - 2024,Chesterfield County Public Schools,Winterpock Elementary,SCH,27.1
2023 - 2024,Chesterfield County Public Schools,Woolridge Elementary,SCH,37.5
2023 - 2024,Clarke County Public Schools,Boyce Elementary,SCH,20.9
2023 - 2024,Clarke County Public Schools,Clarke County High,SCH,19
2023 - 2024,Clarke County Public Schools,D.G. Cooley Elementary,SCH,43.3
2023 - 2024,Clarke County Public Schools,Johnson-Williams Middle,SCH,30.1
2023 - 2024,Colonial Beach Public Schools,Colonial Beach Elementary,SCH,51.5
2023 - 2024,Colonial Beach Public Schools,Colonial Beach High,SCH,56.8
2023 - 2024,Colonial Heights City Public Schools,Colonial Heights High,SCH,25.7
2023 - 2024,Colonial Heights City Public Schools,Colonial Heights Middle,SCH,36
2023 - 2024,Colonial Heights City Public Schools,Lakeview Elementary,SCH,64.4
2023 - 2024,Colonial Heights City Public Schools,North Elementary,SCH,59.8
2023 - 2024,Colonial Heights City Public Schools,Tussing Elementary,SCH,50.1
2023 - 2024,Craig County Public Schools,Craig County High,SCH,36.1
2023 - 2024,Craig County Public Schools,McCleary Elementary,SCH,58.1
2023 - 2024,Culpeper County Public Schools,A.G. Richardson Elementary,SCH,58.4
2023 - 2024,Culpeper County Public Schools,Culpeper County High,SCH,21.9
2023 - 2024,Culpeper County Public Schools,Culpeper Middle,SCH,22.9
2023 - 2024,Culpeper County Public Schools,Eastern View High,SCH,10.1
2023 - 2024,Culpeper County Public Schools,Emerald Hill Elementary,SCH,47.5
2023 - 2024,Culpeper County Public Schools,Farmington Elementary,SCH,41.2
2023 - 2024,Culpeper County Public Schools,Floyd T. Binns Middle,SCH,24.2
2023 - 2024,Culpeper County Public Schools,Pearl Sample Elementary,SCH,46.5
2023 - 2024,Culpeper County Public Schools,Sycamore Park Elementary,SCH,56.8
2023 - 2024,Culpeper County Public Schools,Yowell Elementary,SCH,46.9
2023 - 2024,Cumberland County Public Schools,Cumberland Elementary,SCH,74
2023 - 2024,Cumberland County Public Schools,Cumberland High,SCH,30.4
2023 - 2024,Cumberland County Public Schools,Cumberland Middle,SCH,49.3
2023 - 2024,Danville City Public Schools,Edwin A. Gibson Elementary,SCH,66.5
2023 - 2024,Danville City Public Schools,Forest Hills Elementary,SCH,54.7
2023 - 2024,Danville City Public Schools,G.L.H. Johnson Elementary,SCH,69.9
2023 - 2024,Danville City Public Schools,Galileo Magnet High,SCH,49
2023 - 2024,Danville City Public Schools,George Washington High,SCH,33.7
