Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Norfolk City Public Schools,Lake Taylor High ,SCH,19.8
2023 - 2024,Norfolk City Public Schools,Larchmont Elementary,SCH,67.2
2023 - 2024,Norfolk City Public Schools,Larrymore Elementary,SCH,65
2023 - 2024,Norfolk City Public Schools,Lindenwood Elementary,SCH,73.7
2023 - 2024,Norfolk City Public Schools,Little Creek Elementary,SCH,63.9
2023 - 2024,Norfolk City Public Schools,Mary Calcott Elementary,SCH,66.3
2023 - 2024,Norfolk City Public Schools,Matthew Fontaine Maury High,SCH,12
2023 - 2024,Norfolk City Public Schools,Northside Middle,SCH,28.2
2023 - 2024,Norfolk City Public Schools,Norview Elementary,SCH,72.1
2023 - 2024,Norfolk City Public Schools,Norview High,SCH,22.4
2023 - 2024,Norfolk City Public Schools,Norview Middle,SCH,29.6
2023 - 2024,Norfolk City Public Schools,Ocean View Elementary,SCH,66
2023 - 2024,Norfolk City Public Schools,Oceanair Elementary,SCH,43.4
2023 - 2024,Norfolk City Public Schools,P.B. Young Sr. Elementary ,SCH,83.3
2023 - 2024,Norfolk City Public Schools,Richard Bowling Elementary,SCH,87.7
2023 - 2024,Norfolk City Public Schools,Ruffner School,SCH,49.3
2023 - 2024,Norfolk City Public Schools,Sewells Point Elementary,SCH,66.2
2023 - 2024,Norfolk City Public Schools,Sherwood Forest Elementary,SCH,71.3
2023 - 2024,Norfolk City Public Schools,Southside STEM Academy at Campostella ,SCH,68.2
2023 - 2024,Norfolk City Public Schools,St. Helena Elementary,SCH,70.4
2023 - 2024,Norfolk City Public Schools,Suburban Park Elementary,SCH,72.8
2023 - 2024,Norfolk City Public Schools,Tanners Creek Elementary,SCH,67.4
2023 - 2024,Norfolk City Public Schools,Tarrallton Elementary,SCH,72.1
2023 - 2024,Norfolk City Public Schools,Walter Herron Taylor Elementary,SCH,50.7
2023 - 2024,Norfolk City Public Schools,Willard Elementary,SCH,72.8
2023 - 2024,Northampton County Public Schools,Kiptopeke Elementary,SCH,70.2
2023 - 2024,Northampton County Public Schools,Northampton High,SCH,32
2023 - 2024,Northampton County Public Schools,Northampton Middle,SCH,42.4
2023 - 2024,Northampton County Public Schools,Occohannock Elementary,SCH,69.9
2023 - 2024,Northumberland County Public Schools,Northumberland Elementary,SCH,57.2
2023 - 2024,Northumberland County Public Schools,Northumberland High,SCH,29
2023 - 2024,Northumberland County Public Schools,Northumberland Middle,SCH,45.3
2023 - 2024,Norton City Public Schools,J.I. Burton High ,SCH,56.6
2023 - 2024,Norton City Public Schools,Norton Elementary,SCH,62.1
2023 - 2024,Nottoway County Public Schools,Blackstone Primary,SCH,37.9
2023 - 2024,Nottoway County Public Schools,Crewe Primary,SCH,39.8
2023 - 2024,Nottoway County Public Schools,Nottoway High,SCH,40.9
2023 - 2024,Nottoway County Public Schools,Nottoway Intermediate,SCH,38.4
2023 - 2024,Nottoway County Public Schools,Nottoway Middle,SCH,42.8
2023 - 2024,Orange County Public Schools,Gordon-Barbour Elementary,SCH,71.5
2023 - 2024,Orange County Public Schools,Lightfoot Elementary,SCH,80.4
2023 - 2024,Orange County Public Schools,Locust Grove Elementary,SCH,59.5
2023 - 2024,Orange County Public Schools,Locust Grove Middle,SCH,49.4
2023 - 2024,Orange County Public Schools,Locust Grove Primary,SCH,59.8
2023 - 2024,Orange County Public Schools,Orange County High ,SCH,35.3
2023 - 2024,Orange County Public Schools,Orange Elementary,SCH,49.9
2023 - 2024,Orange County Public Schools,Prospect Heights Middle,SCH,53
2023 - 2024,Orange County Public Schools,Unionville Elementary,SCH,66.5
2023 - 2024,Page County Public Schools,Luray Elementary,SCH,28.7
2023 - 2024,Page County Public Schools,Luray High,SCH,12.4
2023 - 2024,Page County Public Schools,Luray Middle,SCH,26.4
2023 - 2024,Page County Public Schools,Page County High,SCH,11
2023 - 2024,Page County Public Schools,Page County Middle,SCH,16.5
2023 - 2024,Page County Public Schools,Shenandoah Elementary,SCH,36
2023 - 2024,Page County Public Schools,Springfield Elementary,SCH,40.7
2023 - 2024,Page County Public Schools,Stanley Elementary,SCH,46.1
2023 - 2024,Patrick County Public Schools,Blue Ridge Elementary,SCH,82.5
2023 - 2024,Patrick County Public Schools,Hardin Reynolds Memorial School,SCH,82.9
2023 - 2024,Patrick County Public Schools,Meadows of Dan Elementary ,SCH,90.5
2023 - 2024,Patrick County Public Schools,Patrick County High,SCH,58.2
2023 - 2024,Patrick County Public Schools,Patrick Springs Primary,SCH,73.4
2023 - 2024,Patrick County Public Schools,Stuart Elementary,SCH,61.4
2023 - 2024,Patrick County Public Schools,Woolwine Elementary,SCH,76.3
2023 - 2024,Petersburg City Public Schools,Cool Spring Elementary,SCH,62.3
2023 - 2024,Petersburg City Public Schools,Lakemont Elementary,SCH,65.9
2023 - 2024,Petersburg City Public Schools,Petersburg High,SCH,17.9
2023 - 2024,Petersburg City Public Schools,Pleasants Lane Elementary,SCH,49.1
2023 - 2024,Petersburg City Public Schools,Vernon Johns Middle,SCH,53.7
2023 - 2024,Petersburg City Public Schools,Walnut Hill Elementary,SCH,65.5
2023 - 2024,Pittsylvania County Public Schools,Brosville Elementary ,SCH,72.6
2023 - 2024,Pittsylvania County Public Schools,Chatham Elementary,SCH,71.2
2023 - 2024,Pittsylvania County Public Schools,Chatham High,SCH,48.5
2023 - 2024,Pittsylvania County Public Schools,Chatham Middle,SCH,50.3
2023 - 2024,Pittsylvania County Public Schools,Dan River High,SCH,33.7
2023 - 2024,Pittsylvania County Public Schools,Dan River Middle,SCH,66.9
2023 - 2024,Pittsylvania County Public Schools,Gretna Elementary,SCH,70.5
2023 - 2024,Pittsylvania County Public Schools,Gretna High,SCH,39.6
2023 - 2024,Pittsylvania County Public Schools,Gretna Middle,SCH,55
2023 - 2024,Pittsylvania County Public Schools,John L. Hurt Elementary,SCH,76
2023 - 2024,Pittsylvania County Public Schools,Kentuck Elementary,SCH,64.4
2023 - 2024,Pittsylvania County Public Schools,Mount Airy Elementary,SCH,57.3
2023 - 2024,Pittsylvania County Public Schools,Southside Elementary,SCH,66.5
2023 - 2024,Pittsylvania County Public Schools,Stony Mill Elementary,SCH,67
2023 - 2024,Pittsylvania County Public Schools,Tunstall High,SCH,32.7
2023 - 2024,Pittsylvania County Public Schools,Tunstall Middle,SCH,47.6
2023 - 2024,Pittsylvania County Public Schools,Twin Springs Elementary,SCH,55.4
2023 - 2024,Pittsylvania County Public Schools,Union Hall Elementary,SCH,86.4
2023 - 2024,Poquoson City Public Schools,Poquoson Elementary,SCH,44.4
2023 - 2024,Poquoson City Public Schools,Poquoson High,SCH,14.1
2023 - 2024,Poquoson City Public Schools,Poquoson Middle,SCH,32.1
2023 - 2024,Poquoson City Public Schools,Poquoson Primary,SCH,29.6
2023 - 2024,Portsmouth City Public Schools,Brighton Elementary ,SCH,68.1
2023 - 2024,Portsmouth City Public Schools,Churchland Academy Elementary,SCH,93.5
2023 - 2024,Portsmouth City Public Schools,Churchland Elementary,SCH,55.2
2023 - 2024,Portsmouth City Public Schools,Churchland High,SCH,27.1
2023 - 2024,Portsmouth City Public Schools,Churchland Middle,SCH,32.2
2023 - 2024,Portsmouth City Public Schools,Churchland Primary & Intermediate,SCH,67.7
2023 - 2024,Portsmouth City Public Schools,Cradock Elementary,SCH,71.3
2023 - 2024,Portsmouth City Public Schools,Cradock Middle,SCH,37.5
2023 - 2024,Portsmouth City Public Schools,Douglass Park Elementary,SCH,78.8
2023 - 2024,Portsmouth City Public Schools,Hodges Manor Elementary,SCH,59.8
2023 - 2024,Portsmouth City Public Schools,I.C. Norcom High,SCH,19.3
2023 - 2024,Portsmouth City Public Schools,Lakeview Elementary,SCH,71.5
2023 - 2024,Portsmouth City Public Schools,Manor High,SCH,27.8
2023 - 2024,Portsmouth City Public Schools,Park View Elementary,SCH,46.8
2023 - 2024,Portsmouth City Public Schools,Simonsdale Elementary,SCH,70.9
2023 - 2024,Portsmouth City Public Schools,Victory Elementary,SCH,79
2023 - 2024,Portsmouth City Public Schools,Waterview Elementary,SCH,58
2023 - 2024,Portsmouth City Public Schools,Westhaven Elementary,SCH,68
2023 - 2024,Portsmouth City Public Schools,William E. Waters Middle,SCH,46.2
2023 - 2024,Powhatan County Public Schools,Flat Rock Elementary,SCH,25.8
2023 - 2024,Powhatan County Public Schools,Pocahontas Elementary,SCH,38.8
2023 - 2024,Powhatan County Public Schools,Powhatan Elementary,SCH,43.4
2023 - 2024,Powhatan County Public Schools,Powhatan High,SCH,14.8
2023 - 2024,Powhatan County Public Schools,Powhatan Middle,SCH,14.7
2023 - 2024,Prince Edward County Public Schools,Prince Edward County High,SCH,32.9
2023 - 2024,Prince Edward County Public Schools,Prince Edward Elementary,SCH,62.9
2023 - 2024,Prince Edward County Public Schools,Prince Edward Middle,SCH,60.5
2023 - 2024,Prince George County Public Schools,David A. Harrison Elementary,SCH,61.4
2023 - 2024,Prince George County Public Schools,J.E.J. Moore Middle ,SCH,50.4
2023 - 2024,Prince George County Public Schools,L.L. Beazley Elementary,SCH,65.7
2023 - 2024,Prince George County Public Schools,Middle Road Elementary,SCH,56.6
2023 - 2024,Prince George County Public Schools,North Elementary,SCH,58.4
2023 - 2024,Prince George County Public Schools,Prince George High,SCH,28.1
2023 - 2024,Prince George County Public Schools,South Elementary,SCH,59.4
2023 - 2024,Prince William County Public Schools,A. Henderson Elementary,SCH,36
2023 - 2024,Prince William County Public Schools,Antietam Elementary,SCH,30.4
2023 - 2024,Prince William County Public Schools,Ashland Elementary,SCH,29.2
2023 - 2024,Prince William County Public Schools,Battlefield High ,SCH,10.7
2023 - 2024,Prince William County Public Schools,Bel Air Elementary,SCH,34.4
2023 - 2024,Prince William County Public Schools,Belmont Elementary,SCH,43.2
2023 - 2024,Prince William County Public Schools,Bennett Elementary,SCH,26.4
2023 - 2024,Prince William County Public Schools,Brentsville District High,SCH,9.3
2023 - 2024,Prince William County Public Schools,Bristow Run Elementary,SCH,31.9
2023 - 2024,Prince William County Public Schools,Buckland Mills Elementary,SCH,30.5
2023 - 2024,Prince William County Public Schools,Bull Run Middle,SCH,29.4
2023 - 2024,Prince William County Public Schools,C.A. Sinclair Elementary,SCH,41.9
2023 - 2024,Prince William County Public Schools,C.D. Hylton High,SCH,16.1
2023 - 2024,Prince William County Public Schools,Cedar Point Elementary,SCH,18.3
2023 - 2024,Prince William County Public Schools,Charles J. Colgan Sr. High,SCH,19.8
2023 - 2024,Prince William County Public Schools,Chris Yung Elementary,SCH,35
2023 - 2024,Prince William County Public Schools,Coles Elementary,SCH,38.9
2023 - 2024,Prince William County Public Schools,Covington-Harper Elementary,SCH,43.8
2023 - 2024,Prince William County Public Schools,Dale City Elementary,SCH,55.1
2023 - 2024,Prince William County Public Schools,Dumfries Elementary,SCH,71
2023 - 2024,Prince William County Public Schools,E.H. Marsteller Middle,SCH,23.1
2023 - 2024,Prince William County Public Schools,Elizabeth Vaughan Elementary,SCH,50.6
2023 - 2024,Prince William County Public Schools,Enterprise Elementary,SCH,55
2023 - 2024,Prince William County Public Schools,Fannie W. Fitzgerald Elementary,SCH,52.4
2023 - 2024,Prince William County Public Schools,Featherstone Elementary,SCH,53.1
2023 - 2024,Prince William County Public Schools,Forest Park High,SCH,18.7
2023 - 2024,Prince William County Public Schools,Fred M. Lynn Middle,SCH,30.3
2023 - 2024,Prince William County Public Schools,Freedom High ,SCH,31.3
2023 - 2024,Prince William County Public Schools,Gainesville High,SCH,13.7
2023 - 2024,Prince William County Public Schools,Gainesville Middle,SCH,35
2023 - 2024,Prince William County Public Schools,Gar-Field High,SCH,21.1
2023 - 2024,Prince William County Public Schools,George G. Tyler Elementary,SCH,23.7
2023 - 2024,Prince William County Public Schools,George M. Hampton Middle,SCH,37.5
2023 - 2024,Prince William County Public Schools,George P. Mullen Elementary,SCH,31
2023 - 2024,Prince William County Public Schools,Glenkirk Elementary,SCH,21.8
2023 - 2024,Prince William County Public Schools,Graham Park Middle,SCH,56.8
2023 - 2024,Prince William County Public Schools,Haymarket Elementary,SCH,26.1
2023 - 2024,Prince William County Public Schools,Herbert J. Saunders Middle,SCH,24.1
2023 - 2024,Prince William County Public Schools,Innovation Elementary,SCH,49.5
2023 - 2024,Prince William County Public Schools,J.W. Alvey Elementary,SCH,12.2
2023 - 2024,Prince William County Public Schools,John D. Jenkins Elementary,SCH,44.4
2023 - 2024,Prince William County Public Schools,John F. Pattie Sr. Elementary,SCH,42.3
2023 - 2024,Prince William County Public Schools,Kerrydale Elementary,SCH,49.4
2023 - 2024,Prince William County Public Schools,Kyle R. Wilson Elementary,SCH,31.8
2023 - 2024,Prince William County Public Schools,Lake Ridge Elementary,SCH,43.3
2023 - 2024,Prince William County Public Schools,Lake Ridge Middle,SCH,23.5
2023 - 2024,Prince William County Public Schools,Leesylvania Elementary,SCH,47.4
2023 - 2024,Prince William County Public Schools,Loch Lomond Elementary,SCH,48.4
2023 - 2024,Prince William County Public Schools,Louise A. Benton Middle,SCH,34
2023 - 2024,Prince William County Public Schools,Martin Luther King Jr. Elementary,SCH,46.8
2023 - 2024,Prince William County Public Schools,Marumsco Hills Elementary,SCH,47.8
2023 - 2024,Prince William County Public Schools,Mary G. Porter Traditional,SCH,17.7
2023 - 2024,Prince William County Public Schools,Mary Williams Elementary ,SCH,46.4
2023 - 2024,Prince William County Public Schools,Minnieville Elementary,SCH,48.8
2023 - 2024,Prince William County Public Schools,Montclair Elementary,SCH,46.8
2023 - 2024,Prince William County Public Schools,Mountain View Elementary,SCH,17.2
2023 - 2024,Prince William County Public Schools,Neabsco Elementary,SCH,51.6
2023 - 2024,Prince William County Public Schools,Occoquan Elementary,SCH,39.7
2023 - 2024,Prince William County Public Schools,Old Bridge Elementary,SCH,34.8
2023 - 2024,Prince William County Public Schools,Osbourn Park High,SCH,19.3
2023 - 2024,Prince William County Public Schools,Parkside Middle,SCH,38.1
2023 - 2024,Prince William County Public Schools,Patriot High,SCH,18.2
2023 - 2024,Prince William County Public Schools,Pennington Traditional,SCH,26.6
2023 - 2024,Prince William County Public Schools,Piney Branch Elementary,SCH,18.4
2023 - 2024,Prince William County Public Schools,Potomac High,SCH,22.4
2023 - 2024,Prince William County Public Schools,Potomac Middle,SCH,35.2
2023 - 2024,Prince William County Public Schools,Potomac Shores Middle,SCH,45.3
2023 - 2024,Prince William County Public Schools,Potomac View Elementary,SCH,52.2
2023 - 2024,Prince William County Public Schools,R. Dean Kilby Elementary,SCH,46.6
2023 - 2024,Prince William County Public Schools,Rippon Middle,SCH,39.8
2023 - 2024,Prince William County Public Schools,River Oaks Elementary,SCH,43.4
2023 - 2024,Prince William County Public Schools,Rockledge Elementary,SCH,34.9
2023 - 2024,Prince William County Public Schools,Ronald Wilson Reagan Middle,SCH,20.6
2023 - 2024,Prince William County Public Schools,Rosa Parks Elementary,SCH,24.3
2023 - 2024,Prince William County Public Schools,Samuel L. Gravely Jr. Elementary,SCH,29.8
2023 - 2024,Prince William County Public Schools,Sharon C. McAuliffe Elementary,SCH,41.6
2023 - 2024,Prince William County Public Schools,Signal Hill Elementary,SCH,29.4
2023 - 2024,Prince William County Public Schools,Sonnie Penn Elementary,SCH,28.8
2023 - 2024,Prince William County Public Schools,Springwoods Elementary,SCH,35.4
2023 - 2024,Prince William County Public Schools,Stuart M. Beville Middle,SCH,45.2
2023 - 2024,Prince William County Public Schools,Sudley Elementary,SCH,40.9
2023 - 2024,Prince William County Public Schools,Suella G. Ellis Elementary,SCH,47.3
2023 - 2024,Prince William County Public Schools,Swans Creek Elementary,SCH,48.2
2023 - 2024,Prince William County Public Schools,T. Clay Wood Elementary,SCH,24.8
2023 - 2024,Prince William County Public Schools,The Nokesville School,SCH,22.2
2023 - 2024,Prince William County Public Schools,Thurgood Marshall Elementary,SCH,28.3
2023 - 2024,Prince William County Public Schools,Triangle Elementary,SCH,53.9
2023 - 2024,Prince William County Public Schools,Unity Braxton Middle ,SCH,34.4
2023 - 2024,Prince William County Public Schools,Unity Reed High,SCH,18.8
2023 - 2024,Prince William County Public Schools,Victory Elementary,SCH,38.8
2023 - 2024,Prince William County Public Schools,West Gate Elementary,SCH,46.5
2023 - 2024,Prince William County Public Schools,Westridge Elementary,SCH,33
2023 - 2024,Prince William County Public Schools,Woodbridge High,SCH,14.2
2023 - 2024,Prince William County Public Schools,Woodbridge Middle,SCH,36.1
2023 - 2024,Prince William County Public Schools,Yorkshire Elementary,SCH,55.7
2023 - 2024,Pulaski County Public Schools,Critzer Elementary,SCH,61.4
2023 - 2024,Pulaski County Public Schools,Pulaski County Middle,SCH,34.4
2023 - 2024,Pulaski County Public Schools,Pulaski County Senior High,SCH,32.3
2023 - 2024,Pulaski County Public Schools,Pulaski Elementary ,SCH,70.7
2023 - 2024,Pulaski County Public Schools,Riverlawn Elementary,SCH,68.8
2023 - 2024,Pulaski County Public Schools,Snowville Elementary,SCH,77.6
2023 - 2024,Radford City Public Schools,Belle Heth Elementary,SCH,43
2023 - 2024,Radford City Public Schools,John N. Dalton Intermediate,SCH,51
2023 - 2024,Radford City Public Schools,McHarg Elementary,SCH,64
2023 - 2024,Radford City Public Schools,Radford High,SCH,27.3
2023 - 2024,Rappahannock County Public Schools,Rappahannock County Elementary,SCH,59.9
2023 - 2024,Rappahannock County Public Schools,Rappahannock County High,SCH,49.2
2023 - 2024,Richmond City Public Schools,Albert Hill Middle,SCH,26.5
2023 - 2024,Richmond City Public Schools,Armstrong High ,SCH,45.3
2023 - 2024,Richmond City Public Schools,Barack Obama Elementary,SCH,29.9
2023 - 2024,Richmond City Public Schools,Bellevue Elementary,SCH,42.4
2023 - 2024,Richmond City Public Schools,Blackwell Elementary,SCH,59.8
2023 - 2024,Richmond City Public Schools,Broad Rock Elementary,SCH,70.8
2023 - 2024,Richmond City Public Schools,Cardinal Elementary,SCH,75.1
2023 - 2024,Richmond City Public Schools,Chimborazo Elementary,SCH,68.8
2023 - 2024,Richmond City Public Schools,Dogwood Middle,SCH,46.8
2023 - 2024,Richmond City Public Schools,Elizabeth D. Redd Elementary,SCH,74
2023 - 2024,Richmond City Public Schools,Fairfield Court Elementary,SCH,69.7
2023 - 2024,Richmond City Public Schools,Frances W. McClenney Elementary,SCH,58.5
2023 - 2024,Richmond City Public Schools,Franklin Military Academy,SCH,40.7
2023 - 2024,Richmond City Public Schools,G.H. Reid Elementary,SCH,75.5
2023 - 2024,Richmond City Public Schools,George W. Carver Elementary,SCH,64.8
2023 - 2024,Richmond City Public Schools,Henry Marsh III Elementary,SCH,76.3
2023 - 2024,Richmond City Public Schools,Huguenot High,SCH,26
2023 - 2024,Richmond City Public Schools,J.B. Fisher Elementary,SCH,47.1
2023 - 2024,Richmond City Public Schools,J.L. Francis Elementary,SCH,68.9
2023 - 2024,Richmond City Public Schools,John Marshall High,SCH,46.9
2023 - 2024,Richmond City Public Schools,Linwood Holton Elementary,SCH,30.9
2023 - 2024,Richmond City Public Schools,Lois Harrison-Jones Elementary,SCH,56.1
2023 - 2024,Richmond City Public Schools,Lucille M. Brown Middle,SCH,29.2
2023 - 2024,Richmond City Public Schools,Martin Luther King Jr. Middle ,SCH,51.5
2023 - 2024,Richmond City Public Schools,Mary Munford Elementary,SCH,20
2023 - 2024,Richmond City Public Schools,Miles Jones Elementary,SCH,49.2
2023 - 2024,Richmond City Public Schools,Oak Grove/Bellemeade Elementary,SCH,68.6
2023 - 2024,Richmond City Public Schools,Open High,SCH,13.1
2023 - 2024,Richmond City Public Schools,Overby-Sheppard Elementary,SCH,66.5
2023 - 2024,Richmond City Public Schools,Patrick Henry School Of Science And Arts,SCH,28.7
2023 - 2024,Richmond City Public Schools,Richmond Community High,SCH,28.2
2023 - 2024,Richmond City Public Schools,Richmond High School for the Arts,SCH,17.8
2023 - 2024,Richmond City Public Schools,River City Middle,SCH,46.4
2023 - 2024,Richmond City Public Schools,Southampton Elementary,SCH,48.9
2023 - 2024,Richmond City Public Schools,Swansboro Elementary,SCH,76
2023 - 2024,Richmond City Public Schools,Thomas C. Boushall Middle,SCH,51.4
2023 - 2024,Richmond City Public Schools,Thomas H. Henderson Middle,SCH,48.5
2023 - 2024,Richmond City Public Schools,Thomas Jefferson High,SCH,27.7
2023 - 2024,Richmond City Public Schools,Westover Hills Elementary,SCH,67.8
2023 - 2024,Richmond City Public Schools,William Fox Elementary,SCH,32.1
2023 - 2024,Richmond City Public Schools,Woodville Elementary,SCH,71.1
2023 - 2024,Richmond County Public Schools,Rappahannock High,SCH,34.6
2023 - 2024,Richmond County Public Schools,Richmond County Elementary,SCH,58.7
2023 - 2024,Roanoke City Public Schools,Addison Aerospace Magnet Middle,SCH,33.9
2023 - 2024,Roanoke City Public Schools,Breckinridge Middle,SCH,32.8
2023 - 2024,Roanoke City Public Schools,Crystal Spring Elementary,SCH,29.6
2023 - 2024,Roanoke City Public Schools,Fairview Elementary,SCH,63.5
2023 - 2024,Roanoke City Public Schools,Fallon Park Elementary,SCH,59.8
2023 - 2024,Roanoke City Public Schools,Fishburn Park Elementary,SCH,57.5
2023 - 2024,Roanoke City Public Schools,Garden City Elementary,SCH,51.1
2023 - 2024,Roanoke City Public Schools,Grandin Court Elementary,SCH,32.9
2023 - 2024,Roanoke City Public Schools,Highland Park Elementary,SCH,43.9
2023 - 2024,Roanoke City Public Schools,Hurt Park Elementary,SCH,87.2
2023 - 2024,Roanoke City Public Schools,James Madison Middle,SCH,39.7
2023 - 2024,Roanoke City Public Schools,John P. Fishwick Middle,SCH,34.2
2023 - 2024,Roanoke City Public Schools,Lincoln Terrace Elementary,SCH,59.5
2023 - 2024,Roanoke City Public Schools,Monterey Elementary,SCH,58.1
2023 - 2024,Roanoke City Public Schools,Morningside Elementary,SCH,71.5
2023 - 2024,Roanoke City Public Schools,Patrick Henry High,SCH,17.1
2023 - 2024,Roanoke City Public Schools,Preston Park Elementary,SCH,70.3
2023 - 2024,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,SCH,65.9
2023 - 2024,Roanoke City Public Schools,Round Hill Elementary,SCH,62.2
2023 - 2024,Roanoke City Public Schools,Virginia Heights Elementary,SCH,70.7
2023 - 2024,Roanoke City Public Schools,Wasena Elementary,SCH,42.6
2023 - 2024,Roanoke City Public Schools,Westside Elementary,SCH,48.9
2023 - 2024,Roanoke City Public Schools,William Fleming High,SCH,14.1
2023 - 2024,Roanoke City Public Schools,Woodrow Wilson Middle,SCH,34.5
2023 - 2024,Roanoke County Public Schools,Back Creek Elementary,SCH,33.2
2023 - 2024,Roanoke County Public Schools,Bonsack Elementary,SCH,38.7
2023 - 2024,Roanoke County Public Schools,Burlington Elementary,SCH,56.1
2023 - 2024,Roanoke County Public Schools,Cave Spring Elementary,SCH,26.6
2023 - 2024,Roanoke County Public Schools,Cave Spring High,SCH,14.6
2023 - 2024,Roanoke County Public Schools,Cave Spring Middle,SCH,45.1
2023 - 2024,Roanoke County Public Schools,Clearbrook Elementary,SCH,42.3
2023 - 2024,Roanoke County Public Schools,Fort Lewis Elementary,SCH,36.4
2023 - 2024,Roanoke County Public Schools,Glen Cove Elementary,SCH,56.7
2023 - 2024,Roanoke County Public Schools,Glenvar Elementary,SCH,54.4
2023 - 2024,Roanoke County Public Schools,Glenvar High,SCH,15.2
2023 - 2024,Roanoke County Public Schools,Glenvar Middle,SCH,23.9
2023 - 2024,Roanoke County Public Schools,Green Valley Elementary,SCH,48
2023 - 2024,Roanoke County Public Schools,Herman L. Horn Elementary,SCH,54.5
2023 - 2024,Roanoke County Public Schools,Hidden Valley High,SCH,25.6
2023 - 2024,Roanoke County Public Schools,Hidden Valley Middle,SCH,26.1
2023 - 2024,Roanoke County Public Schools,Mason's Cove Elementary,SCH,51.9
2023 - 2024,Roanoke County Public Schools,Mount Pleasant Elementary,SCH,59.7
2023 - 2024,Roanoke County Public Schools,Mountain View Elementary,SCH,55.6
2023 - 2024,Roanoke County Public Schools,Northside High,SCH,19.9
2023 - 2024,Roanoke County Public Schools,Northside Middle,SCH,21.4
2023 - 2024,Roanoke County Public Schools,Oak Grove Elementary,SCH,52.6
2023 - 2024,Roanoke County Public Schools,Penn Forest Elementary,SCH,53.4
2023 - 2024,Roanoke County Public Schools,W.E. Cundiff Elementary,SCH,60.1
2023 - 2024,Roanoke County Public Schools,William Byrd High,SCH,20.5
2023 - 2024,Roanoke County Public Schools,William Byrd Middle,SCH,33.7
2023 - 2024,Rockbridge County Public Schools,Central Elementary,SCH,56.1
2023 - 2024,Rockbridge County Public Schools,Fairfield Elementary,SCH,38.7
2023 - 2024,Rockbridge County Public Schools,Maury River Middle,SCH,34.7
2023 - 2024,Rockbridge County Public Schools,Mountain View Elementary,SCH,69.4
2023 - 2024,Rockbridge County Public Schools,Natural Bridge Elementary,SCH,42.2
2023 - 2024,Rockbridge County Public Schools,Rockbridge County High,SCH,18.3
2023 - 2024,Rockingham County Public Schools,Broadway High,SCH,35.9
2023 - 2024,Rockingham County Public Schools,Cub Run Elementary,SCH,45.3
2023 - 2024,Rockingham County Public Schools,East Rockingham High,SCH,33.3
2023 - 2024,Rockingham County Public Schools,Elkton Elementary,SCH,47.1
2023 - 2024,Rockingham County Public Schools,Elkton Middle,SCH,27.2
2023 - 2024,Rockingham County Public Schools,Fulks Run Elementary,SCH,63.5
2023 - 2024,Rockingham County Public Schools,J. Frank Hillyard Middle,SCH,38
2023 - 2024,Rockingham County Public Schools,John C. Myers Elementary,SCH,52.7
2023 - 2024,Rockingham County Public Schools,John W. Wayland Elementary,SCH,43.5
2023 - 2024,Rockingham County Public Schools,Lacey Spring Elementary,SCH,59.9
2023 - 2024,Rockingham County Public Schools,Linville-Edom Elementary,SCH,35.4
2023 - 2024,Rockingham County Public Schools,McGaheysville Elementary,SCH,74.3
2023 - 2024,Rockingham County Public Schools,Montevideo Middle,SCH,45.2
2023 - 2024,Rockingham County Public Schools,Mountain View Elementary,SCH,43.7
2023 - 2024,Rockingham County Public Schools,Ottobine Elementary,SCH,35
2023 - 2024,Rockingham County Public Schools,Peak View Elementary,SCH,40.9
2023 - 2024,Rockingham County Public Schools,Plains Elementary,SCH,33.8
2023 - 2024,Rockingham County Public Schools,Pleasant Valley Elementary,SCH,56.1
2023 - 2024,Rockingham County Public Schools,River Bend Elementary,SCH,50.5
2023 - 2024,Rockingham County Public Schools,South River Elementary,SCH,48
2023 - 2024,Rockingham County Public Schools,Spotswood High,SCH,26.5
2023 - 2024,Rockingham County Public Schools,Turner Ashby High,SCH,18.8
2023 - 2024,Rockingham County Public Schools,Wilbur S. Pence Middle,SCH,42.4
2023 - 2024,Russell County Public Schools,Belfast Elementary,SCH,61
2023 - 2024,Russell County Public Schools,Castlewood Elementary,SCH,46.8
2023 - 2024,Russell County Public Schools,Castlewood High,SCH,18.8
2023 - 2024,Russell County Public Schools,Honaker Elementary,SCH,46.6
2023 - 2024,Russell County Public Schools,Honaker High,SCH,35
2023 - 2024,Russell County Public Schools,Lebanon Elementary,SCH,57.1
2023 - 2024,Russell County Public Schools,Lebanon High,SCH,27
2023 - 2024,Russell County Public Schools,Lebanon Middle,SCH,27.3
2023 - 2024,Russell County Public Schools,Lebanon Primary,SCH,75
2023 - 2024,Salem City Public Schools,Andrew Lewis Middle,SCH,27
2023 - 2024,Salem City Public Schools,East Salem Elementary,SCH,63
2023 - 2024,Salem City Public Schools,G.W. Carver Elementary,SCH,36.9
2023 - 2024,Salem City Public Schools,Salem High,SCH,22.9
2023 - 2024,Salem City Public Schools,South Salem Elementary,SCH,33.6
2023 - 2024,Salem City Public Schools,West Salem Elementary,SCH,45.2
2023 - 2024,Scott County Public Schools,Duffield-Pattonsville Primary,SCH,65.4
2023 - 2024,Scott County Public Schools,Dungannon Elementary,SCH,50.7
